coordenada X,coordenada Y
115,133
5,969
614,47
147,638
883,215
193,753
903,287
675,917
827,44
116,928
701,236
699,813
881,573
249,20
930,560
125,725
983,7
483,850
308,731
399,574
856,732
144,252
148,980
532,841
361,313
440,842
979,680
23,647
964,816
511,561
372,673
721,197
301,59
631,472
963,634
214,539
309,532
229,775
423,426
513,715
814,409
686,356
434,849
279,453
279,552
797,65
362,833
226,446
627,343
655,408
594,465
994,812
304,229
782,361
40,873
91,150
905,235
86,26
63,18
715,757
753,853
663,392
661,371
920,662
518,52
560,992
880,570
99,269
893,196
56,698
932,504
329,375
473,350
855,795
861,755
626,756
659,741
317,414
711,80
360,267
359,921
115,979
702,555
635,146
744,385
366,60
172,988
727,71
5,484
13,906
818,309
330,1
490,915
226,338
692,877
895,766
288,208
872,296
825,949
989,116
842,598
161,25
968,144
228,954
669,669
941,14
308,802
658,497
857,879
712,713
663,669
729,209
848,715
565,805
291,670
178,208
75,377
235,894
152,843
860,595
918,523
840,203
388,402
564,720
87,202
188,475
766,286
172,120
83,72
63,107
846,426
186,519
393,262
936,919
768,180
273,165
778,705
520,7
188,151
569,360
465,93
202,798
937,508
598,415
466,700
363,259
610,138
416,462
282,958
389,565
292,904
94,45
854,951
81,674
645,169
989,345
95,864
542,643
812,245
586,770
388,326
105,33
717,192
79,158
826,94
296,780
666,30
357,98
913,505
603,862
137,942
392,730
85,473
356,356
535,189
136,581
389,996
534,350
502,550
257,795
10,615
129,122
219,171
825,833
462,852
108,693
179,370
339,999
710,425
62,534
441,512
785,37
358,377
180,903
951,763
177,393
923,683
188,606
692,284
270,88
312,813
91,286
296,42
982,442
762,268
302,915
913,396
28,482
583,461
428,121
783,757
424,255
681,421
952,714
677,660
517,104
98,742
633,537
25,399
156,935
640,26
426,22
794,186
430,313
612,110
612,127
61,373
196,502
63,501
182,825
57,567
228,499
609,364
248,852
379,615
228,141
14,362
74,287
520,310
615,562
530,995
950,567
486,393
829,998
902,972
877,922
797,883
111,631
643,255
808,742
809,272
530,529
322,544
455,580
581,748
505,749
797,702
386,824
906,596
733,653
280,737
875,349
848,479
137,764
969,316
687,748
975,276
435,287
831,438
808,894
349,143
547,790
308,717
986,355
885,4
442,338
649,382
712,27
225,793
423,249
806,691
113,208
784,485
568,971
421,316
286,359
982,148
104,281
876,491
722,205
16,829
117,780
718,31
698,302
241,674
355,878
487,567
964,880
289,100
855,676
368,253
876,10
818,311
140,952
207,463
84,504
642,63
356,510
589,716
945,531
981,602
628,826
884,490
564,387
768,342
388,616
579,694
681,248
342,984
930,141
693,982
620,776
136,330
887,179
376,172
343,241
883,961
477,641
689,205
37,146
423,184
940,553
766,763
224,290
331,313
773,351
885,209
576,692
202,471
392,376
307,55
835,661
883,704
41,73
148,770
212,961
446,508
556,881
56,490
550,711
180,755
337,975
338,298
569,106
207,111
446,73
826,116
798,675
155,20
419,162
153,173
121,839
607,716
270,827
993,960
810,27
609,884
936,440
461,688
170,618
24,130
194,142
153,504
259,577
955,957
823,395
477,797
998,190
369,915
757,182
106,413
546,838
450,217
949,911
919,264
68,208
683,838
789,430
467,264
233,417
303,91
192,107
872,817
464,753
165,187
124,229
723,441
160,230
316,968
566,758
316,962
190,38
405,816
261,282
449,798
620,625
824,418
42,519
106,222
256,193
543,828
511,654
420,548
727,935
35,288
770,574
101,561
314,671
710,631
867,400
964,37
129,693
652,351
556,631
500,525
109,149
673,455
380,907
771,205
172,539
688,939
997,996
434,854
351,790
213,159
297,215
721,628
126,261
678,186
870,524
721,709
403,428
421,547
317,933
104,35
531,999
267,570
458,966
407,289
7,85
598,65
721,403
626,292
405,62
599,75
316,841
272,572
98,558
206,287
255,338
149,162
214,305
439,842
959,55
373,310
915,422
792,41
18,482
475,565
161,820
161,390
416,91
684,70
997,358
831,136
661,368
466,851
635,714
866,745
867,301
589,198
576,568
284,695
337,540
500,659
80,713
430,682
273,957
704,474
153,485
813,701
301,590
319,347
66,293
694,18
718,931
785,654
937,964
646,468
674,446
563,510
56,603
759,717
538,675
188,267
161,434
303,677
738,436
691,78
624,196
291,255
700,579
193,944
825,935
815,938
351,346
208,413
73,433
689,312
394,687
637,348
194,442
886,16
983,209
40,554
570,794
565,795
348,47
754,185
756,41
308,605
459,47
683,177
660,264
865,785
148,989
828,811
638,367
162,187
192,901
358,941
580,77
384,524
582,748
938,716
151,317
396,842
636,315
597,783
247,606
528,699
464,3
746,92
932,145
215,680
563,869
386,444
448,145
896,23
784,319
458,635
55,856
136,555
315,877
804,387
166,12
882,33
263,316
83,689
320,367
25,708
699,592
369,419
913,57
593,583
779,93
81,642
626,9
564,816
932,10
313,333
570,629
48,753
729,736
192,729
68,629
848,588
181,248
932,353
657,736
696,379
986,713
374,611
533,31
814,71
832,804
884,771
996,611
586,679
147,319
407,251
780,364
594,504
728,110
359,458
431,558
119,718
501,103
633,740
722,825
49,170
950,569
493,464
541,232
696,905
545,509
945,599
847,560
672,366
158,454
113,52
853,189
185,719
522,298
218,413
608,704
781,989
245,881
645,574
341,809
911,551
355,273
202,267
351,131
908,187
981,947
535,260
723,781
19,364
877,392
575,494
223,625
417,755
122,868
920,370
383,850
428,546
668,355
947,181
940,922
252,582
782,806
623,631
859,248
682,157
618,99
216,964
488,781
210,482
835,6
468,748
61,139
543,639
883,685
31,152
189,258
196,858
644,578
510,228
428,735
299,250
757,165
229,522
79,125
997,34
328,612
191,171
392,1
743,458
476,195
514,591
237,657
507,162
716,277
420,641
669,602
725,550
603,647
815,616
795,140
383,710
763,304
451,815
936,145
377,567
771,928
98,72
831,834
236,721
153,689
492,474
650,985
268,948
399,712
929,26
142,76
21,418
383,165
750,582
804,391
314,567
804,871
692,896
224,958
194,477
331,365
342,634
421,569
706,21
23,305
327,684
909,315
649,679
115,228
683,741
215,688
718,592
869,579
584,642
984,524
129,270
73,575
972,628
339,797
499,397
518,190
984,345
37,849
765,980
708,425
551,257
937,604
444,620
244,382
817,551
82,365
702,731
780,145
768,43
905,825
477,751
992,188
405,948
804,985
161,186
282,752
182,560
842,768
613,261
479,161
614,673
686,252
548,578
685,401
816,299
587,82
478,860
126,265
492,983
685,261
962,816
89,93
733,130
939,728
277,192
355,146
854,308
247,206
606,882
928,557
16,181
691,443
451,387
920,386
45,335
797,603
981,511
264,907
